MSFT,Microsoft Corporation,Technology,Software - Infrastructure
GOOGL,Alphabet Inc,Technology,Internet Content & Information
AAPL,Apple Inc,Technology,Internet Consumer Electronics
TWTR,Twitter Inc,Technology,Internet Content & Information
FB,Facebook Inc,Technology,Internet Content & Information
